system:index,NDBI,NDVI,.geo
0,0.03197646835563146,0.2534709423762133,"{""type"":""Point"",""coordinates"":[77.3627795464764,23.27186702680058]}"
1,0.10285303284584033,0.11236623067776456,"{""type"":""Point"",""coordinates"":[77.45504050632374,23.182363413491856]}"
2,-0.06551410373066424,0.4938606282889491,"{""type"":""Point"",""coordinates"":[77.49408624154199,23.232723207459888]}"
3,0.019940602460755196,0.2959326788218794,"{""type"":""Point"",""coordinates"":[77.4405373767952,23.330403988016613]}"
4,0.10872608492767148,0.3625014861490905,"{""type"":""Point"",""coordinates"":[77.40512652538897,23.21210521042225]}"
5,-0.06227967097532315,0.519559902200489,"{""type"":""Point"",""coordinates"":[77.3447221378594,23.21808550325359]}"
6,0.09082505199907558,0.20397857689364957,"{""type"":""Point"",""coordinates"":[77.4359359440187,23.241307045848956]}"
7,-0.14452245330507352,0.676693188433922,"{""type"":""Point"",""coordinates"":[77.4572973724032,23.201294122659384]}"
8,-0.176014684886804,0.552922165364934,"{""type"":""Point"",""coordinates"":[77.38830847001161,23.328994009008735]}"
9,0.028299524167292762,0.21136434592569467,"{""type"":""Point"",""coordinates"":[77.37883265783054,23.303850284166682]}"
10,0.03144171779141104,0.19432624113475178,"{""type"":""Point"",""coordinates"":[77.36384468213187,23.273760532121326]}"
11,-0.06206896551724138,0.4959236773633998,"{""type"":""Point"",""coordinates"":[77.40174811175869,23.24708654094678]}"
12,0.03212654924983692,0.3884664873084571,"{""type"":""Point"",""coordinates"":[77.3819001388869,23.284281955658027]}"
13,-0.03187086092715232,0.26387832699619773,"{""type"":""Point"",""coordinates"":[77.40767953898458,23.33960364423157]}"
14,-0.18072056408770404,0.4867428849428363,"{""type"":""Point"",""coordinates"":[77.49975908674976,23.23383263598311]}"
15,-0.2586750788643533,-0.19879518072289157,"{""type"":""Point"",""coordinates"":[77.3325072705833,23.240809592094582]}"
16,-0.016748014164034836,0.1836007130124777,"{""type"":""Point"",""coordinates"":[77.35565227166884,23.201028002071002]}"
17,0.05537525354969574,0.3370657479184611,"{""type"":""Point"",""coordinates"":[77.44672531686454,23.187542509083954]}"
18,0.040589569160997735,0.18764912280701754,"{""type"":""Point"",""coordinates"":[77.32830010146938,23.296552898882062]}"
19,-0.027943570265870864,0.31906005221932116,"{""type"":""Point"",""coordinates"":[77.50210569002223,23.237137893853504]}"
20,-0.21077331156906753,0.5373056994818652,"{""type"":""Point"",""coordinates"":[77.40870681470516,23.31389856822838]}"
21,-0.14253495714930087,0.5129162311482753,"{""type"":""Point"",""coordinates"":[77.45412228011452,23.214608643976774]}"
22,0.1182043762688924,0.12586405529953917,"{""type"":""Point"",""coordinates"":[77.40381167616594,23.25488354710779]}"
23,0.10916110916110916,0.20646490255110125,"{""type"":""Point"",""coordinates"":[77.39442721983023,23.241891855494924]}"
24,-0.1387823585810163,0.5242220083413539,"{""type"":""Point"",""coordinates"":[77.44935297593365,23.191409667430054]}"
25,0.12481743624311875,0.15974393330355813,"{""type"":""Point"",""coordinates"":[77.42216184986776,23.285120233520754]}"
26,0.09391175745624845,0.08934656986220181,"{""type"":""Point"",""coordinates"":[77.48696529678794,23.24036854603837]}"
27,0.06385196768308575,0.1831357048748353,"{""type"":""Point"",""coordinates"":[77.47587560583335,23.30562881575951]}"
28,-0.09917627677100495,0.4381376634573933,"{""type"":""Point"",""coordinates"":[77.39236443171752,23.23335003098687]}"
29,-0.18356510745891277,0.6599290780141844,"{""type"":""Point"",""coordinates"":[77.40671742860516,23.23662149496933]}"
30,-0.001435897435897436,0.22601707684580613,"{""type"":""Point"",""coordinates"":[77.41345818044414,23.306424890612284]}"
31,0.04121935056328695,0.36259182520248634,"{""type"":""Point"",""coordinates"":[77.41691255622652,23.240290140275405]}"
32,-0.054144106622240736,0.5367334547662417,"{""type"":""Point"",""coordinates"":[77.44379838608256,23.30720550991168]}"
33,0.06080688292059063,0.3470068367517092,"{""type"":""Point"",""coordinates"":[77.38882232192563,23.174721592839642]}"
34,0.025922828813761796,0.21683330846142368,"{""type"":""Point"",""coordinates"":[77.42100083641483,23.286728890678884]}"
35,-0.06932529561789938,0.36047197640117995,"{""type"":""Point"",""coordinates"":[77.455399083032,23.283549314687182]}"
36,0.22537082134159842,0.28900349972370604,"{""type"":""Point"",""coordinates"":[77.37321592751505,23.181066553047064]}"
37,0.001323918799646955,0.26707726763717804,"{""type"":""Point"",""coordinates"":[77.45943008260015,23.29344393604954]}"
38,-0.1242405195893568,0.44753169678985705,"{""type"":""Point"",""coordinates"":[77.36568199662514,23.327356287794977]}"
39,-0.039609993906154786,0.32935064935064934,"{""type"":""Point"",""coordinates"":[77.44199135463195,23.295995085220547]}"
40,0.053595269883654394,0.40726035167328417,"{""type"":""Point"",""coordinates"":[77.4671537100464,23.292474292107407]}"
41,-0.04191770285860787,0.28852251109701965,"{""type"":""Point"",""coordinates"":[77.39394554194429,23.209661057754847]}"
42,0.041211621677313,0.25654874426140967,"{""type"":""Point"",""coordinates"":[77.48682776530055,23.256396866732064]}"
43,-0.013185553219950316,0.3560102301790281,"{""type"":""Point"",""coordinates"":[77.486238870509,23.3134203419874]}"
44,-0.1309260079751883,0.6631373187815606,"{""type"":""Point"",""coordinates"":[77.36580443100799,23.220402030665223]}"
45,-0.2141377209018891,0.5392459826946848,"{""type"":""Point"",""coordinates"":[77.49187612780474,23.216382453627975]}"
46,-0.15905439522607298,0.48660582867235797,"{""type"":""Point"",""coordinates"":[77.38738791984103,23.31907049873293]}"
47,0.02372804015514488,0.42990810359231413,"{""type"":""Point"",""coordinates"":[77.38385284841792,23.235981398850818]}"
48,-0.20036934441366575,0.5262694452597593,"{""type"":""Point"",""coordinates"":[77.41562189770622,23.320023831168065]}"
49,0.10050251256281408,0.2483024408148284,"{""type"":""Point"",""coordinates"":[77.43321281194251,23.174069202011005]}"
50,0.08461388834857032,0.2949917446340121,"{""type"":""Point"",""coordinates"":[77.47199891107438,23.30614005198953]}"
51,-0.050488599348534204,0.5458358298382265,"{""type"":""Point"",""coordinates"":[77.38824875275296,23.17982686127172]}"
52,-0.02125813449023861,0.3654292343387471,"{""type"":""Point"",""coordinates"":[77.44924296953583,23.32031384776255]}"
53,-0.07881149537262543,0.5060519515843873,"{""type"":""Point"",""coordinates"":[77.33665584423983,23.214753852455388]}"
54,-0.11021159153633854,0.47422428536525774,"{""type"":""Point"",""coordinates"":[77.37755001547406,23.314695530702693]}"
55,0.13084546299163827,0.12812782634911063,"{""type"":""Point"",""coordinates"":[77.41034938389522,23.238917758146002]}"
